"","text","yearweek"
"1","stay safe  2021  may   half way done  final coronavirus vaccination   devils   morning coffee",202053
"2","coronavirus updates trump administration falls far sho  vaccination goals  new virus variant looms
 derek hawkins

",202053
"3"," glad  see redcap  used   covid19 vaccination plan   state  tennesseeand also   20  us states",202053
"4","floridas firstcome firstserve covid19 vaccination plan   elderly leads  scramble
",202053
"5"," really  try  send  state    atlantic  call  dumbfuckistan  elect  leader dumbfuckatrump

floridas firstcome firstserve covid19 vaccination plan   elderly leads  scramblecnn",202053
"6","floridas firstcome firstserve covid19 vaccination plan   elderly leads  scramble

",202053
"7","biden receives first dose  covid19 vaccine  live television

",202052
"8","   medical assistant      can draw blood   vein   give  vaccination  nys     course   take   able  vaccinate   gladly join  forces   coronavirus vaccinators",202053
"9"," us  nowhere close  meeting  coronavirus vaccination goal   end  2020 via",202053
"10","kamala harris receives coronavirus vaccine  previously opposed 

just 3 months ago  said     trust  vaccination developed   supervision   trump administration

",202053
"11","  need  know   us covid19 vaccination program 

",202051
"12","elevating folks 75  azs next 1b vaccination phase  meaningful thanks  azs independent vaccine prioritization committee   evidencebased decision

    1m persons  1b  senior outreach   key heres  update",202053
"13","covidvaccine
cdc issues new covid vaccination guidance  people  preexisting conditions",202053
"14","covidvaccine covid19

coronavirus vaccination proof  play key role  global economy",202052
"15","kmbc kansas city cvs walgreens  sta vaccination effo monday  longterm care facilities  kansas missouri


via",202053
"16"," first us covid19 vaccine given  new york  morning  mass vaccinations begin

",202051
"17","coronavirus

repo travel insurers likely  make vaccination  requirement

",202053
"18","cdc issues new covid vaccination guidance  people  preexisting conditions",202053
"19"," vaccine informationthe pa  history  gb complication   interesting

covid19 vaccination considerations  persons  underlying medical conditionscdc",202053
"20","stefano boeri designs prefabricated vaccination pavilions  1500 italian squaresvia",202053
"21","us requiring  passengers  uk  provide  negative coronavirus test   require  negative test   arrivals  proof  vaccination 
 employer requires   enter  confines    negative test   times  seems reasonable",202052
"22","educators  included  phase 1b  missouris covid19 vaccination plan  next group  line   right now    plans  require teachers  staff  get vaccinated",202052
"23"," patients  cancer may  offered vaccination  covid19  long  components   vaccine   contraindicated",202052
"24","coronavirus vaccination proof  play key role  global economy",202052
"25","coronaviruses   known  decades covid 19   disease  get  sarscov2    new highly contagious strand  coronavirus discovered  2019  vaccination   coronavirus years ago   help   strand michael",202052
"26","vaccination nation fox35   source    latest coronavirus vaccines news     air now",202052
"27","maricopa county currently   brief prescreening form online   can use  sign    vaccination 

sign  



covid news phoenix arizona covid19 coronavirus community maricopacounty",202052
"28","im  excited im getting covid19 vaccination  january 5th

covid news phoenix arizona covid19 coronavirus community maricopacounty",202052
"29","maricopa county currently   brief prescreening form online   can use  sign    vaccination 

sign  



covid phoenix arizona covid19 coronavirus community maricopacounty",202052
"30","can employers make covid19 vaccines mandatory  answer  yes   exceptionsdo  agree",202052
"31"," newdashboard  n vaccinations    useful last  checked  showedof vaccinations staed      better isof vaccinations staed among    recommended  get   phase 1a 13",202052
"32","im   age  68 fo  qualify   coronavirus vaccination",202052
"33"," small  delaware  occasion id sit    cathedral choir  de    major services  gave   oppounity  sing  tabe mase  nurse practitioner  administered joe bidens vaccine  national television today

",202052
"34"," 
coronavirus vaccination",202052
"35","biden receives first dose  covid19 vaccine  live television

",202052
"36","people 75 yrs  older  essential workers  first  get coronavirus vaccine
coronavirus vaccination",202052
"37","verify yes  covid19 vaccine might make  feel ill  means  workingvia",202051
"38","verify yes  covid19 vaccine might make  feel ill  means  workingvia",202051
"39","  workers   guaranteed free treatment  infected prior  vaccination covid  literally  occupational hazard 

",202051
"40","since    afraid  tell    tell 
donaldtrumpyou   path forward  go pack  shit

omg     last nerve   

bidenwon 
bidenharris 
joebiden kamalaharris
covid19 covid19 coronavirus
vaccination",202051
"41","    priority   race  elderly  get  vaccination

",202051
"42","    priority   race  elderly  get  vaccination

",202051
"43","mmmmstay woke covid19 coronavirusupdates vaccination coronavirus ufcvegas17 hennessyfightnight",202051
"44","good interview  dr scott harris talking   current covid19 situation amp  upcoming vaccination effo  alabama coronavirusupdates coronavirus 

 

",202050
"45","meanwhile back  labor  deliverywe    offered  covid19 vaccine gulp

covid19 coronavirus vaccine laboranddeliverylife laboranddelivery vaccination getyourshot",202051
"46","video shows mishap  covid19 vaccination  el paso nurses",202051
"47","  probably feeling pretty goodthe guy  said     second wave  getting vaccinated  everyone else   third waveat least 2020 brought us irony",202051
"48","first person  kern county  get vaccinated kerncounty bakersfield coronavirus vaccination",202051
"49","
whats  scariest  seems    one outlet repoing  anyone  eyes can see    fucking duped",202051
"50","1m vaccinatedgov abbott expects 1 million texans  receive covid19 vaccination  new years day",202051
"51","something  keep  mind
 takes time   body  build protection   vaccination covid19 vaccines  require 2 shots may  protect    week  two   second shot
",202051
"52","monroe county forms covid19 vaccination task force",202051
"53","today    joining  live atputting  story together   coldchainlogistics  pfizer covid19 vaccine distributionreminder  initial dose timeline backgroundfl draft vaccination plan",202050
"54","see health care worker receive coronavirus vaccination live  todaytvia",202051
"55"," vaccination plan  coming  focusbut  wa state prepared amp  hurdles    vaccinating everyone  coronavirus covid19live 430  amp beyond",202049
"56","history unfolding  wa  1st frontline workersamp paramedic get pfizercovidvaccineall seemed eager amp excited  get vaccinationmoment  hope amid covid19 coronavirus pandemic live coveragenoonw",202051
"57","vaccination  coronavirus still  wait  general publiceyewitnesswv",202051
"58","happening now governor tom wolf  giving  update  covid19 vaccination distributions   winter storm headed  way 

watch live 
",202051
"59","    sap every time  see  medical provider get  coronavirus vaccination  tear  vaccination",202051
"60","tn  now  global leader  new cases per pop  coronavirus  killing people amp  economy meanwhileis enriching friends w nobid contracts scaling back covid19 testing sitting  tanf funds denying unemployment amp refusing  encourage vaccination",202051
"61","virus updates  hospitals  get vaccines fauci says biden trump  get shot
",202051
