"","text","created_at","user_location"
"63"," us  millions  coronavirus vaccine doses    vaccinated people",2021-01-01,"Texas, USA"
"98","first official selfie   new year going  talk   next priority group   coronavirus vaccine  lot  people included  make sure  tune  staing  500am",2021-01-01,"Fargo, ND"
"130","white house coronavirus testing czar  need     better job  covid19 vaccine rollout

",2021-01-01,""
"143","unfounately  vaccines  work    covid19 strains   identified amp covid19  continue  mutate aggressively

 need  wear  mask amp socially isolate  covid19 vaccine  risk covid19 death 

see pinned tweet
",2021-01-01,"Arlington, Virginia"
"144"," incompetence dealing   coronavirus  still killing americans  cant even make sure americans  getting vaccinated",2021-01-01,""
"154","also   see  photos   tightly packed first come first serve vaccine  coronavirus infection project  florida social darwinism  work",2021-01-01,"https://v.gd/h9000"
"173","current state  vaccine availability",2021-01-01,"Wilmington, NC"
"216","something  wouldnt  gt 
hospital pharmacist arrested  allegedly causing   500 vaccine doses   thrown 

",2021-01-01,"Grapevine, Texas"
"221"," us  millions  coronavirus vaccine doses    vaccinated people",2021-01-01,"United States of America"
"239","good aicle especially   road  events require proof  vaccination  know  got     official documentation   covidvaccine",2021-01-01,"Hopatcong, NJ"
"256"," good idea   may  waiting  next year  get vaccinated covid19",2021-01-01,"Washington, DC"
"281","ran  someone  anti vaccine conspiracy nut  thinks    shooting tracking devices yeah go get  tin foil hat",2021-01-01,"New Castle, PA"
"336","    people  say    comply also  now signed legal agreements   call 911  use hospital servicesin  event  become infected  covid19   also go   back   line   vaccine   distributed well  ",2021-01-01,"Winston-Salem, NC"
"338"," can  get covid19 vaccine  nj heres  new 2021 listwhy   states    virginia",2021-01-01,"Fairfax, VA"
"339","summer 2021
 herd immunity  achieved  broad vaccination effosdisease mitigation amp containment effos

  us   behind  vaccine rollout effos need  step    achieve  goal
covid19",2021-01-01,"Salt Lake City, UT"
"348","  want real vaccine news go tothe best english language newspaper   world",2021-01-01,"San Diego, CA USA"
"349","  way  sta  new year 2nd covidstroke intervention   week  time patient   lovenox bad disease far    please maskup  get vaccinated  possible
stroke covidstroke covid19 neurointervention neurosurgery",2021-01-01,"Oklahoma City"
"385"," coronavirus vaccine rollout  texas  troubling  must get  right  many including teachers  waiting covidvaccine 
 via",2021-01-01,"Texas 🇺🇸"
"386","  healthcare workers refuse  coronavirus vaccine imo    fired   refusal   made  permanent pa   record     time   idiotic games",2021-01-01,"Junction, TX"
"418","hopeful 2021  hellish 2020  nye2021  amma mom got  pt 1 covid19 moderna vaccination  mild side effects  woke   newyear2021 w just soreness shes 66   hea condition amp works w general patients  registration   bayarea hospital 12",2021-01-01,"Oakland, CA"
"457","  worse   flu      30k die   said wasnt going  happen   almost  400k   just  flu dont complain abt  getting  vaccine  try  get medical help  dont need   dont feel sorry   rich guy",2021-01-01,"Las Vegas, NV"
"497","  fraction  covid19 vaccine   used  wash state",2021-01-01,"Olympia, WA"
"498","  covid vaccine cover  new strain   coronavirus   people   get  additional vaccine",2021-01-01,"Indianapolis 🚀 Neptune"
"530","pfizer  moderna vaccines prevented 95  cases  covid19 disease   vaccine stops people  getting sick however    yet clear   stops   spreading covid19   also  yet known  long    immune must mask distance notgather",2021-01-01,"Los Angeles, CA"
"566","romney floats sweeping vaccine plan  us nears 20 million covid19 cases
",2021-01-01,"Seattle"
"638","covid19 vaccine shelf life 30 days   physicians inform  patients   vaccine received  expired    even know",2021-01-01,"Tacoma, WA."
"645","  california depament  health specifically asked   number  healthcare providers   practice   applied   covid19 vaccine provider presumably   without admitting privileges    overlooked 

exceptno vaccine",2021-01-01,"Santa Monica, CA"
"655","   one   times   black community   call upon history  help us decide whether  take  vaccine  notgranted  know   country  done  us  covid19  realwe need  get vaccinated",2021-01-01,"Milwaukee, WI"
"685","chinas covid19 vaccine race  cgtn repoers eyes",2021-01-01,"Chinar Park,Tegaria, Kolkata  "
"702"," vaccine literally  works nationwide  7580  people take    deliberately reject  offer  take  vaccine     allowed  work   risk populations people  die   people   selfcentered",2021-01-01,"Seattle, WA"
"741","rush  doses   people  want    efficacy runs  im 72 want  vaccine amp  st  received about60k   im told likely 6 mos wait   60  us health workers  refusing  get covid19 vaccinesvia",2021-01-01,"Tacoma, WA"
"767","1b  needing  covid19 vaccine please go  work  ",2021-01-01,"The Woodlands Texas Usa"
"882"," almost anything    gave   subcutaneous pressure infection   left buttock   probably kill  within six months    optimistic  also  take  covid19 vaccine 
5",2021-01-02,"Philadelphia"
"985","heads    qualify  1a  1b   vaccine tomorrow   first houston area community event   general public",2021-01-02,"Houston, TX"
"1027","mitt romney lashes trump admins inexcusable covid19 vaccine delays
",2021-01-02,"Chicago, IL"
"1054","wait  fucking injected people   people  thought    vaccinated",2021-01-02,"Austin, TX"
"1075","right now    coordinated national vaccination planfix  first",2021-01-02,"California, USA"
