"","location","date","daily_vaccinations","tweet_sentiment","approve_estimate","disapprove_estimate","new_cases","new_hospital_cases","people_vaccinated","high_school_percentage","bachelor_degree_percentage","age_median","population","daily_vaccinations_n","new_cases_n","new_hospital_cases_n","people_vaccinated_n"
"1","Alabama","2021-06-15",13261,-0.21,52.95932,41.179657,13139,2003.43,1816769,87.1,26.3,39.4,4903185,0.00270456856104756,0.00267968677502481,0.000408597676816192,0.370528340252305
"2","Alabama","2021-03-20",24649,0.92,54.326912,39.946276,56335,4637.86,960539,87.1,26.3,39.4,4903185,0.00502714052192605,0.0114894706196075,0.000945887214127144,0.195901031676349
"3","Alabama","2021-07-20",5286,0,52.331278,42.470673,53311,3741.14,2024953,87.1,26.3,39.4,4903185,0.00107807476160904,0.0108727286447483,0.000763002007878552,0.412987272558551
"4","Alabama","2021-05-07",19313,0.12,53.494398,40.105339,43681,4374.43,1636710,87.1,26.3,39.4,4903185,0.003938868307029,0.00890869914147641,0.000892160911733904,0.333805475420568
"5","Alabama","2021-01-22",14107,0.79,44.3973428,49.1023566,190771,13841.71,174317,87.1,26.3,39.4,4903185,0.00287710947068079,0.0389075672241614,0.00282300382302524,0.0355517892961412
"6","Alabama","2021-08-31",24699,-3,46.975274,47.648146,180542,12210.71,2442247,87.1,26.3,39.4,4903185,0.00503733797521407,0.0368213722304992,0.00249036289677016,0.498093994005937
"7","Alabama","2021-03-08",24040,1.58,53.368976,38.800609,42233,4955,732967,87.1,26.3,39.4,4903185,0.00490293554087802,0.00861338089425547,0.00101056762084237,0.149487934883142
"8","Alabama","2021-05-30",5646,1.07,53.580561,40.832753,11668,2786.71,1766055,87.1,26.3,39.4,4903185,0.00115149642528275,0.00237967769929138,0.000568346901044933,0.360185267331337
"9","Alabama","2021-05-06",16178,0.68,53.368107,40.047005,43021,4467.71,1619783,87.1,26.3,39.4,4903185,0.00329948798587041,0.0087740927580746,0.000911185280588026,0.330353229584444
"10","Alabama","2021-03-01",22111,0.66,53.922245,37.081727,50563,5640.14,653309,87.1,26.3,39.4,4903185,0.00450951779302637,0.0103122766120389,0.00115030128375739,0.133241760202807
"11","Alabama","2021-03-21",24865,0.65,54.326912,39.946276,43403,4640.14,968459,87.1,26.3,39.4,4903185,0.00507119352013028,0.00885200130119504,0.000946352217997077,0.197516308277171
"12","Alabama","2021-04-11",31967,0.67,53.59475,39.569551,50023,5521.86,1382951,87.1,26.3,39.4,4903185,0.00651963978516005,0.0102021441165283,0.00112617818825926,0.282051564442296
"13","Alabama","2021-07-11",5711,0.81,51.612871,42.26235,20648,2498.14,1992957,87.1,26.3,39.4,4903185,0.00116475311455717,0.00421114030981903,0.000509493319138478,0.406461718250484
"14","Alabama","2021-05-11",18461,0.06,54.020018,39.648582,34557,4047.71,1658191,87.1,26.3,39.4,4903185,0.00376510370300121,0.00704786786547928,0.000825526672968693,0.338186505302166
"15","Alabama","2021-04-24",25832,1.41,53.751111,39.913626,51747,5324.14,1543544,87.1,26.3,39.4,4903185,0.00526841226672051,0.0105537523058991,0.00108585337897713,0.314804356759943
"16","Alabama","2021-01-29",14514,0.89,54.281215,34.557801,159703,11917.29,256601,87.1,26.3,39.4,4903185,0.00296011674044524,0.0325712776491199,0.00243052016189477,0.0523335342231631
"17","Alabama","2021-03-25",27004,1.14,53.974147,39.712355,66357,4777,1048838,87.1,26.3,39.4,4903185,0.0055074405717916,0.0135334481566574,0.000974264687137034,0.213909530233919
"18","Alabama","2021-08-28",23765,-0.14,47.240472,46.945667,147895,12304.57,2415007,87.1,26.3,39.4,4903185,0.00484684954779393,0.0301630470806221,0.00250950555608242,0.492538421454626
"19","Alabama","2021-03-04",23916,0.82,53.061421,38.314457,64535,5178.57,688791,87.1,26.3,39.4,4903185,0.00487764585672374,0.0131618529588421,0.0010561645134744,0.140478280954115
"21","Alabama","2021-08-19",15604,0.5,49.105388,44.540729,168794,11846,2312990,87.1,26.3,39.4,4903185,0.00318242122212399,0.034425378605947,0.00241598063299672,0.471732149612956
"22","Alabama","2021-04-08",29195,1.37,53.348828,39.690286,75857,5367.43,1317995,87.1,26.3,39.4,4903185,0.00595429297487246,0.0154709642813804,0.0010946823340339,0.268803848926769
"23","Alabama","2021-03-16",27331,0.86,53.88628,40.134543,54214,4704.57,871536,87.1,26.3,39.4,4903185,0.00557413191629522,0.0110568946511298,0.000959492656304015,0.177748952976484
"24","Alabama","2021-05-14",19034,0.81,52.794621,40.722719,33460,3788.43,1687875,87.1,26.3,39.4,4903185,0.00388196651768187,0.00682413574034021,0.000772646759198358,0.344240529370195
