"","location","avg.daily_vaccinations","avg.tweet_sentiment","avg.approve_estimate","avg.disapprove_estimate","avg.new_cases","avg.new_hospital_cases","avg.people_vaccinated","avg.high_school_percentage","avg.bachelor_degree_percentage","avg.age_median","avg.daily_vaccinations_n","avg.new_cases_n","avg.new_hospital_cases_n","avg.people_vaccinated_n","numValid"
"1","Alabama",17582.649122807,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,1452549.58333333,87.1,26.3,39.4,0.00358596486218795,0.0144221535271676,0.00125034041156456,0.296246130491371,228
"2","Alaska",3030.33482142857,0.345401785714286,52.2759735205357,41.2007193223214,71288.0223214286,6180.91196428571,278060.049107143,93.6,30.2,35,0.00414237650647407,0.0974485811828781,0.00844912064778751,0.380099719234145,224
"3","Arizona",32297.8986784141,0.334977973568282,52.2584173814978,41.2375580889868,70796.8193832599,6128.9018061674,2674203.74889868,87.6,30.2,38.2,0.00443730655806705,0.00972655199855413,0.000842030512543268,0.367400429072689,227
"4","Arkansas",12208.0877192982,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,974217.048245614,87.5,23.3,38.5,0.0040453547411622,0.0234324319412743,0.00203149387795801,0.322823168186408,228
"5","California",204997.820175439,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,17056278.3552632,84,35,37,0.00518821277596653,0.00178968636723136,0.000155158325333333,0.431670937756733,228
"6","Colorado",28713.7665198238,0.333788546255507,52.3027135189427,41.1891563859031,70185.6035242291,6096.68092511013,2373425.40528634,92.4,42.7,37.1,0.00498612308670232,0.0121876751294432,0.00105868387179237,0.412143464344666,227
"7","Connecticut",20193.1902654867,0.32929203539823,52.2606835424779,41.2323556911504,70801.8318584071,6142.28884955752,1721500.67699115,90.7,39.8,41.1,0.00566383302816484,0.0198586626710296,0.00172280347965185,0.482850518623368,226
"8","Delaware",4889.19911504425,0.336238938053097,52.248708759292,41.2513739654867,70826.3938053097,6126.99300884956,404564.792035398,90.3,33.2,41.1,0.00502092818695726,0.0727346603543669,0.00629207180471814,0.415464929937231,226
"9","Florida",105303.398230088,0.33570796460177,52.255249759292,41.2605602486726,70514.3849557522,6097.3432300885,8333268.75221239,88.4,30.7,42.5,0.00490290938147201,0.0032831384868784,0.000283891325705706,0.387995660446554,226
"10","Georgia",41590.1830357143,0.331294642857143,52.2620898375,41.2274056303571,70743.2544642857,6119.53441964286,3323351.23214286,87.9,32.5,37.1,0.0039171636126501,0.00666294019408342,0.000576367205078187,0.313009214396267,224
