"","day","week","approve_estimate","disapprove_estimate","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","new_cases","new_hospital_cases","tweet_sentiment","approve_estimate_avg","disapprove_estimate_avg"
"1",1,1,42.569996,53.193613,4563260,4563260,1342086,348017,1.36,1.36,0.4,1035,197846,15740,"-0.1",42.2649265714286,53.5217387142857
"2",2,1,42.571273,53.215957,4836469,4836469,1342086,339372,1.44,1.44,0.4,1009,247769,15956.57,"-0.12",42.2649265714286,53.5217387142857
"3",3,1,42.759495,53.099187,5306797,5306797,1342086,358887,1.58,1.58,0.4,1067,295251,16082,"0.47",42.2649265714286,53.5217387142857
"4",4,1,42.378777,53.244454,5919418,5919418,1342086,378253,1.76,1.76,0.4,1125,288619,16127.86,"0.41",42.2649265714286,53.5217387142857
"5",5,1,41.858315,53.96632,6688231,6688231,1342086,419933,1.99,1.99,0.4,1249,293366,16258.86,"0.28",42.2649265714286,53.5217387142857
"6",6,1,41.858315,53.96632,7454594.66666667,7454594.66666667,1342086,461263,2.21666666666667,2.21666666666667,0.4,1371,245436,16489.29,"0.66",42.2649265714286,53.5217387142857
"7",7,1,41.858315,53.96632,8220958.33333333,8220958.33333333,1342086,546636,2.44333333333333,2.44333333333333,0.4,1625,207572,16297.43,"0.08",42.2649265714286,53.5217387142857
"8",8,2,40.746526,54.742086,8987322,8987322,1342086,632009,2.67,2.67,0.4,1879,190955,16153,"0.87",39.365218,56.5802707142857
"9",9,2,40.545568,55.247232,9327138,9327138,1342086,641524,2.77,2.77,0.4,1907,210291,15941.14,"1.15",39.365218,56.5802707142857
"10",10,2,40.01021,55.823384,10278462,9508947.5,1342086,710238,3.06,2.825,0.4,2112,240309,15758.43,"0.24",39.365218,56.5802707142857
"11",11,2,39.440439,56.287022,11148991,9690757,1342086,747082,3.31,2.88,0.4,2221,228306,15636.14,"-0.51",39.365218,56.5802707142857
"12",12,2,38.044537,58.034084,12279180,10595866,1610524,798707,3.65,3.15,0.48,2375,229537,15533.86,"0.82",39.365218,56.5802707142857
"13",13,2,38.044537,58.034084,13136282,11345850.25,2023124,811670,3.905,3.3725,0.6,2413,205082,15366.14,"0.71",39.365218,56.5802707142857
"14",14,2,38.724709,57.894003,13993384,12095834.5,2023124,824632,4.16,3.595,0.6,2452,163046,15208.86,"1.04",39.365218,56.5802707142857
"15",15,3,38.262011,58.148625,14850486,12845818.75,2023124,837595,4.415,3.8175,0.6,2490,140938,15050,"0.21",44.3973428,49.1023566
"16",16,3,39.158235,57.43205,15707588,13595803,2023124,911493,4.67,4.04,0.6,2710,147342,14753.43,"-0.68",44.3973428,49.1023566
"17",17,3,38.617868,57.852968,16525281,14270441,2161419,892403,4.91,4.24,0.64,2653,193540,14434.29,"0.23",44.3973428,49.1023566
"18",18,3,44.3973428,49.1023566,17546374,15053257,2394961,913912,5.22,4.48,0.71,2717,197335,14115.29,"1.07",44.3973428,49.1023566
"19",19,3,44.3973428,49.1023566,19107959,16243093,2756953,975540,5.68,4.83,0.82,2901,190771,13841.71,"0.79",44.3973428,49.1023566
"20",20,3,52.9743,36.03907,20537990,17390345,3027865,1057387,6.11,5.17,0.9,3144,163518,13532.43,"0.87",44.3973428,49.1023566
"21",21,3,52.9743,36.03907,21848655,18502131,3216836,1122182,6.5,5.5,0.96,3337,134627,13261.14,"0.17",44.3973428,49.1023566
"22",22,4,54.9925,37.27006,22734243,19252279,3346390,1126251,6.76,5.72,0.99,3349,121822,12945.71,"0.33",54.4021675714286,35.4571182857143
"23",23,4,54.281215,34.557801,27884661,22858318,4780888,1253815,8.29,6.8,1.42,3728,159703,11917.29,"0.89",54.4021675714286,35.4571182857143
"24",24,4,54.80725,37.49861,23540994,19902237,3481921,1119058,7,5.92,1.04,3327,146857,12768.43,"0.81",54.4021675714286,35.4571182857143
"25",25,4,53.949072,35.09413,24652634,20687970,3801053,1161050,7.33,6.15,1.13,3452,164116,12556.57,"0.2",54.4021675714286,35.4571182857143
"26",26,4,54.222706,34.663625,26193682,21698606,4263056,1235330,7.79,6.45,1.27,3673,157588,12332.71,"0.46",54.4021675714286,35.4571182857143
"27",27,4,54.281215,34.557801,29577902,24064165,5259693,1291416,8.79,7.16,1.56,3840,132175,11609,"0.79",54.4021675714286,35.4571182857143
"28",28,4,54.281215,34.557801,31123299,25201143,5657142,1324949,9.25,7.49,1.68,3939,102181,11355.57,"0.78",54.4021675714286,35.4571182857143
"29",29,5,53.156742,36.3333,41210937,31579100,9147185,1441091,12.25,9.39,2.72,4285,81908,9751.29,"0.05",53.2093882857143,35.4665944285714
"30",30,5,53.396059,34.003756,32222402,26023153,5927847,1355451,9.58,7.74,1.76,4030,123156,11154.43,"0.16",53.2093882857143,35.4665944285714
"31",31,5,53.192157,34.236291,32780860,26440836,6064792,1319981,9.75,7.86,1.8,3925,115399,10788.71,"-1.26",53.2093882857143,35.4665944285714
"32",32,5,52.652548,35.189123,33878254,27154956,6436931,1317946,10.07,8.07,1.91,3919,116525,10512.14,"0.32",53.2093882857143,35.4665944285714
"33",33,5,53.754728,35.837091,35203710,27905197,6926050,1287147,10.47,8.3,2.06,3827,123091,10285.43,"0.16",53.2093882857143,35.4665944285714
"34",34,5,53.156742,36.3333,36819212,28909497,7503864,1276364,10.95,8.6,2.23,3795,121834,10133.29,"0.3",53.2093882857143,35.4665944285714
"35",35,5,53.156742,36.3333,39037964,30250964,8317180,1351437,11.61,8.99,2.47,4018,105929,9954.57,"0.29",53.2093882857143,35.4665944285714
"36",36,6,53.093442,36.748001,42417617,32340146,9518015,1456459,12.61,9.62,2.83,4331,79091,9515.71,"0.62",54.2140885714286,37.0903495714286
"37",37,6,54.535052,36.935867,43206190,32867213,9840429,1489333,12.85,9.77,2.93,4428,92423,9295.14,"0.48",54.2140885714286,37.0903495714286
"38",38,6,54.289854,37.10473,44769970,33783384,10469514,1555959,13.31,10.04,3.11,4626,100323,9029.43,"0.88",54.2140885714286,37.0903495714286
"39",39,6,54.253095,37.14357,46390270,34723964,11188782,1598080,13.79,10.32,3.33,4752,97425,8704.57,"0.42",54.2140885714286,37.0903495714286
"40",40,6,54.441821,37.233365,48410558,35834855,12085830,1655907,14.39,10.65,3.59,4924,94495,8393.14,"0.56",54.2140885714286,37.0903495714286
"41",41,6,54.442678,37.233457,50641884,37056122,13082172,1657703,15.06,11.02,3.89,4929,80777,8078.29,"-0.65",54.2140885714286,37.0903495714286
"42",42,6,54.442678,37.233457,52884356,38292270,14077440,1667631,15.72,11.39,4.19,4958,62209,7788.43,"0.35",54.2140885714286,37.0903495714286
"43",43,7,54.567261,37.251158,54052360,38981410.5,15015434,1662106,16.07,11.595,4.46,4942,55513,7544.14,"-0.22",54.5248144285714,37.8019362857143
"44",44,7,54.841579,37.396302,55220364,39670551,15015434,1716311,16.42,11.8,4.46,5103,56835,7246.43,"0.83",54.5248144285714,37.8019362857143
"45",45,7,54.457794,37.774734,56281827,40268009,15471536,1644551,16.73,11.97,4.6,4890,66648,7050.43,"0.68",54.5248144285714,37.8019362857143
"46",46,7,54.449369,37.84585,57737767,41021049,16162358,1621071,17.17,12.2,4.81,4820,69485,6852.86,"0.24",54.5248144285714,37.8019362857143
"47",47,7,54.452566,38.11517,59585043,41977401,17039118,1596355,17.72,12.48,5.07,4746,69924,6680.57,"0.18",54.5248144285714,37.8019362857143
"48",48,7,54.452566,38.11517,61289500,42809595,17895667,1521088,18.22,12.73,5.32,4523,64113,6560.29,"0.05",54.5248144285714,37.8019362857143
"49",49,7,54.452566,38.11517,63090634,43628092,18865319,1458040,18.76,12.97,5.61,4335,52025,6527.57,"0.52",54.5248144285714,37.8019362857143
"50",50,8,54.732806,38.137972,64177474,44138118,19438495,1446445,19.08,13.12,5.78,4301,55176,6500.71,"1.35",54.4420827142857,38.2045147142857
"51",51,8,54.406798,38.048187,65032083,44544969,19882544,1401674,19.34,13.24,5.91,4168,71596,6461.14,"0.65",54.4420827142857,38.2045147142857
"52",52,8,54.264025,38.116707,66464947,45237143,20607261,1454731,19.76,13.45,6.13,4325,72355,6366.86,"0.5",54.4420827142857,38.2045147142857
"53",53,8,54.479157,38.20396,68274117,46074392,21555117,1505193,20.3,13.7,6.41,4475,69785,6257.71,"0.94",54.4420827142857,38.2045147142857
"54",54,8,54.403931,38.308259,70454064,47184199,22613359,1552717,20.95,14.03,6.72,4617,71144,6109.29,"0.31",54.4420827142857,38.2045147142857
"55",55,8,54.403931,38.308259,72806180,48435536,23698627,1645240,21.65,14.4,7.05,4892,65847,5934.57,"-0.05",54.4420827142857,38.2045147142857
"56",56,8,54.403931,38.308259,75236003,49772180,24779920,1735053,22.37,14.8,7.37,5159,48788,5801.86,"0.88",54.4420827142857,38.2045147142857
"57",57,9,53.922245,37.081727,76899987,50732997,25466405,1817502,22.86,15.08,7.57,5404,50563,5640.14,"0.66",53.4428574285714,38.1105798571429
"58",58,9,53.544854,37.124568,78631601,51755447,26162122,1942788,23.38,15.39,7.78,5777,54569,5454,"1.13",53.4428574285714,38.1105798571429
"59",59,9,52.898622,38.326638,80540474,52855579,26957804,2010790,23.95,15.72,8.02,5979,65602,5282.29,"-0.02",53.4428574285714,38.1105798571429
"60",60,9,53.061421,38.314457,82572848,54035670,27795980,2042676,24.55,16.07,8.26,6074,64535,5178.57,"0.82",53.4428574285714,38.1105798571429
"61",61,9,53.55762,38.642223,85008094,55547697,28701201,2079147,25.28,16.52,8.53,6182,62012,5127.43,"0.56",53.4428574285714,38.1105798571429
"62",62,9,53.55762,38.642223,87912323,57358849,29776160,2158020,26.14,17.05,8.85,6416,55347,5065.57,"0.55",53.4428574285714,38.1105798571429
"63",63,9,53.55762,38.642223,90351750,58873710,30686881,2159392,26.86,17.51,9.12,6421,41819,4991.86,"-0.14",53.4428574285714,38.1105798571429
"64",64,10,52.958772,39.278536,95721290,62451150,32904161,2168688,28.46,18.57,9.78,6448,58637,4882.14,"0.82",53.3136108571429,39.6811547142857
"65",65,10,53.368976,38.800609,92089852,60005231,31493040,2169981,27.38,17.84,9.36,6452,42233,4955,"1.58",53.3136108571429,39.6811547142857
"66",66,10,53.447902,38.782093,93692598,61088527,32102061,2151571,27.86,18.16,9.54,6397,54143,4911.29,"0.21",53.3136108571429,39.6811547142857
"67",67,10,54.065952,40.104361,107060274,69784210,37459269,2386932,31.83,20.75,11.14,7097,42003,4739.57,"0.81",53.3136108571429,39.6811547142857
"68",68,10,53.043988,40.254456,98203893,64071674,33863127,2233006,29.2,19.05,10.07,6639,59539,4819.14,"1.43",53.3136108571429,39.6811547142857
"69",69,10,53.154843,40.274014,101128005,65965305,35000159,2302844,30.07,19.61,10.41,6847,62150,4811.86,"0.71",53.3136108571429,39.6811547142857
"70",70,10,53.154843,40.274014,105703501,68884011,36929777,2541597,31.43,20.48,10.98,7557,52398,4768,"0.21",53.3136108571429,39.6811547142857
"71",71,11,54.326912,39.946276,121441497,79367225,43036818,2248285,36.11,23.6,12.8,6685,56335,4637.86,"0.92",54.0478822857143,40.0665712857143
"72",72,11,53.846774,40.185976,109081860,71054445,38335432,2427430,32.43,21.13,11.4,7218,43401,4723.29,"-0.07",54.0478822857143,40.0665712857143
"73",73,11,53.88628,40.134543,110737856,72135616,39042345,2435037,32.93,21.45,11.61,7240,54214,4704.57,"0.86",54.0478822857143,40.0665712857143
"74",74,11,53.585267,40.321243,113037627,73669956,39989196,2473762,33.61,21.9,11.89,7355,62160,4668.14,"1.14",54.0478822857143,40.0665712857143
"75",75,11,54.036119,39.985409,115730008,75495716,40981464,2503731,34.41,22.45,12.19,7444,62744,4665.43,"0.52",54.0478822857143,40.0665712857143
"76",76,11,54.326912,39.946276,118313818,77230061,41934629,2455116,35.18,22.96,12.47,7300,61264,4617.29,"0.95",54.0478822857143,40.0665712857143
"77",77,11,54.326912,39.946276,124481412,81415769,44141228,2488734,37.01,24.21,13.12,7400,43403,4640.14,"0.65",54.0478822857143,40.0665712857143
"78",78,12,55.064562,39.104932,126509736,82772416,44910946,2489697,37.62,24.61,13.35,7403,49135,4645.57,"0.89",54.3512815714286,39.5423674285714
"79",79,12,54.974286,39.208636,128217029,83930495,45533962,2497025,38.12,24.96,13.54,7424,59345,4688.29,"0.95",54.3512815714286,39.5423674285714
"80",80,12,54.380435,39.780839,130473853,85472166,46365515,2490889,38.79,25.41,13.79,7406,68626,4728.14,"0.46",54.3512815714286,39.5423674285714
"81",81,12,53.974147,39.712355,133305295,87343622,47419832,2510755,39.64,25.97,14.1,7465,66357,4777,"1.14",54.3512815714286,39.5423674285714
"82",82,12,54.021847,39.66327,136684688,89559225,48695172,2624410,40.64,26.63,14.48,7803,76812,4814.29,"-0.17",54.3512815714286,39.5423674285714
"83",83,12,54.021847,39.66327,140180735,91707729,50141769,2677034,41.68,27.27,14.91,7960,62100,4841,"0.82",54.3512815714286,39.5423674285714
"84",84,12,54.021847,39.66327,143462691,93631163,51593564,2711611,42.66,27.84,15.34,8062,51585,4916.29,"0.7",54.3512815714286,39.5423674285714
"85",85,13,54.124379,39.430828,145812835,95015762,52614231,2757586,43.35,28.25,15.64,8199,57563,4953.71,"0.4",53.9439891428571,39.6457614285714
"86",86,13,53.904588,39.536628,147602345,96044046,53423486,2769331,43.89,28.56,15.88,8234,63549,4974.86,"0.83",53.9439891428571,39.6457614285714
"87",87,13,54.106209,39.480767,150273292,97593290,54607041,2828491,44.68,29.02,16.24,8410,72685,4987.43,"0.58",53.9439891428571,39.6457614285714
"88",88,13,53.790376,39.429603,153631404,99565311,56089614,2903730,45.68,29.6,16.68,8634,73786,5003.86,"0.22",53.9439891428571,39.6457614285714
"89",89,13,53.864386,39.829318,157606463,101804762,57984785,2988825,46.86,30.27,17.24,8887,69425,5032.71,"0.53",53.9439891428571,39.6457614285714
"90",90,13,53.906377,39.90923,161688422,104213478,59858146,3072527,48.08,30.99,17.8,9136,62203,5070.86,"1.18",53.9439891428571,39.6457614285714
"91",91,13,53.911609,39.903956,165053746,106214924,61416536,3084436,49.08,31.58,18.26,9171,44066,5094.86,"0.91",53.9439891428571,39.6457614285714
"92",92,14,53.678575,39.51854,167187795,107515428,62392065,3053566,49.71,31.97,18.55,9079,56944,5151.86,"0.49",53.5069355714286,39.6396471428571
"93",93,14,53.618386,39.609798,168592075,108301234,63016976,2998533,50.13,32.2,18.74,8916,66532,5243.14,"0.65",53.5069355714286,39.6396471428571
"94",94,14,53.11851,39.950253,171476655,109995734,64422618,3029052,50.99,32.71,19.15,9006,79327,5318.57,"0.39",53.5069355714286,39.6396471428571
"95",95,14,53.348828,39.690286,174879716,112046611,66203123,3035473,52,33.32,19.68,9025,75857,5367.43,"1.37",53.5069355714286,39.6396471428571
"96",96,14,53.59475,39.569551,178837781,114436039,68202458,3033045,53.17,34.03,20.28,9018,79267,5427.14,"0.61",53.5069355714286,39.6396471428571
"97",97,14,53.59475,39.569551,183467709,117142879,70692645,3111327,54.55,34.83,21.02,9251,65881,5467.43,"0.46",53.5069355714286,39.6396471428571
"98",98,14,53.59475,39.569551,187047131,119242902,72630892,3141912,55.62,35.45,21.6,9342,50023,5521.86,"0.67",53.5069355714286,39.6396471428571
"99",99,15,53.582872,39.497847,189692045,120848490,74066085,3214893,56.4,35.93,22.02,9559,60857,5554.57,"0.67",53.1642541428571,40.3577945714286
"100",100,15,53.571123,39.525347,192282781,122295530,75322283,3384387,57.17,36.36,22.4,10063,74717,5538.29,"0.67",53.1642541428571,40.3577945714286
"101",101,15,52.479558,40.920696,194791836,123917385,76681252,3330740,57.92,36.84,22.8,9903,73450,5544,"-0.26",53.1642541428571,40.3577945714286
"102",102,15,52.789209,40.751822,198317040,125822868,78498290,3348189,58.97,37.41,23.34,9955,74581,5551.14,"1.28",53.1642541428571,40.3577945714286
"103",103,15,53.242339,40.60295,202282923,127743096,80609818,3349306,60.15,37.98,23.97,9959,70789,5582.57,"-0.2",53.1642541428571,40.3577945714286
"104",104,15,53.242339,40.60295,205871913,129494179,82471151,3200601,61.21,38.5,24.52,9516,73646,5623.43,"0",53.1642541428571,40.3577945714286
"105",105,15,53.242339,40.60295,209406814,131247546,84263408,3194240,62.26,39.02,25.05,9497,47821,5627.86,"0.16",53.1642541428571,40.3577945714286
"106",106,16,53.283328,40.57157,211581309,132321628,85365180,3127038,62.91,39.34,25.38,9298,34863,5625.14,"0.5",53.6406652857143,40.2791985714286
"107",107,16,53.751111,39.913626,222322230,137234889,91175995,2862758,66.1,40.8,27.11,8512,63853,5435.71,"-0.67",53.6406652857143,40.2791985714286
"108",108,16,53.455244,40.625908,213388238,133266995,86223506,3015065,63.45,39.62,25.64,8965,61254,5607.29,"-0.5",53.6406652857143,40.2791985714286
"109",109,16,53.431994,40.051306,215951909,134445595,87592646,3022868,64.21,39.97,26.04,8988,64443,5580.71,"0.67",53.6406652857143,40.2791985714286
"110",110,16,53.266932,40.234692,218947643,135791031,89245776,2947229,65.1,40.37,26.54,8763,60971,5536.14,"1.4",53.6406652857143,40.2791985714286
"111",111,16,53.751111,39.913626,225640460,138644724,93078040,2824078,67.09,41.22,27.68,8397,51747,5324.14,"1.41",53.6406652857143,40.2791985714286
"112",112,16,54.544937,40.643662,228661408,139978480,94772329,2750656,67.99,41.62,28.18,8179,39681,5228.86,"0.86",53.6406652857143,40.2791985714286
"113",113,17,53.761107,41.540675,237360493,143793565,99668945,2630407,70.57,42.75,29.63,7821,56628,4917.14,"1.04",54.0637702857143,41.3001738571429
"114",114,17,54.455284,40.876175,230768454,140969663,95888088,2741021,68.61,41.91,28.51,8150,39682,5143.14,"0.86",54.0637702857143,41.3001738571429
"115",115,17,54.382766,41.340155,232407669,141751857,96747454,2717062,69.1,42.15,28.77,8079,52433,5069.57,"0.03",54.0637702857143,41.3001738571429
"116",116,17,53.971838,41.695633,234639414,142692987,98044421,2669644,69.77,42.43,29.15,7938,56095,4983.43,"0.59",54.0637702857143,41.3001738571429
"117",117,17,53.914535,41.374227,240159677,144894586,101407318,2548207,71.41,43.08,30.15,7577,54935,4882.86,"1.52",54.0637702857143,41.3001738571429
"118",118,17,53.980431,41.137176,243463471,146239208,103422555,2546144,72.39,43.48,30.75,7570,47230,4803.57,"0.87",54.0637702857143,41.3001738571429
"119",119,17,53.980431,41.137176,245591469,147047012,104774652,2418580,73.02,43.72,31.15,7191,35408,4733.57,"0.73",54.0637702857143,41.3001738571429
"120",120,18,53.49088,39.953578,246780203,147517734,105523520,2287393,73.38,43.86,31.38,6801,33518,4699.71,"0.37",53.4531195714286,40.063194
"121",121,18,53.549666,40.012343,247769049,147894671,106168588,2194483,73.67,43.97,31.57,6525,44480,4625.86,"1.17",53.4531195714286,40.063194
"122",122,18,53.27999,40.113415,249566820,148562891,107346533,2132487,74.2,44.17,31.92,6341,45577,4554.43,"-0.27",53.4531195714286,40.063194
"123",123,18,53.368107,40.047005,251973752,149462265,108926627,2087608,74.92,44.44,32.39,6207,43021,4467.71,"0.68",53.4531195714286,40.063194
"124",124,18,53.494398,40.105339,254779333,150416559,110874920,2088522,75.75,44.72,32.97,6210,43681,4374.43,"0.12",53.4531195714286,40.063194
"125",125,18,53.494398,40.105339,257347205,151315505,112626771,1983391,76.52,44.99,33.49,5897,35822,4321,"0.88",53.4531195714286,40.063194
"126",126,18,53.494398,40.105339,259716989,152116936,114258244,2017931,77.22,45.23,33.97,6000,26292,4236.86,"1.03",53.4531195714286,40.063194
"127",127,19,54.076384,39.70373,261599381,152819904,115530780,2117025,77.78,45.44,34.35,6295,24827,4143.43,"-0.02",53.1733947142857,40.4575497142857
"128",128,19,54.020018,39.648582,263132561,153448316,116576359,2194787,78.24,45.63,34.66,6526,34557,4047.71,"0.06",53.1733947142857,40.4575497142857
"129",129,19,52.792521,40.898533,264680844,153986312,117647439,2159146,78.7,45.79,34.98,6420,35387,3964.86,"-0.31",53.1733947142857,40.4575497142857
"130",130,19,52.940977,40.783846,266596486,154624231,118987308,2088962,79.27,45.97,35.38,6211,35589,3878.29,"0.25",53.1733947142857,40.4575497142857
"131",131,19,52.794621,40.722719,268438666,155251852,120258637,1951333,79.82,46.16,35.76,5802,33460,3788.43,"0.81",53.1733947142857,40.4575497142857
"132",132,19,52.794621,40.722719,270832342,156217367,121768268,1926448,80.53,46.45,36.21,5728,28507,3698.14,"0.6",53.1733947142857,40.4575497142857
"133",133,19,52.794621,40.722719,272925411,157132234,122999721,1886917,81.15,46.72,36.57,5610,20490,3631.86,"0.7",53.1733947142857,40.4575497142857
"134",134,20,52.766378,40.728347,274411901,157827208,123828224,1830360,81.59,46.93,36.82,5442,19895,3548.43,"0.83",53.4133698571429,40.724354
"135",135,20,52.722626,40.723925,275535207,158365411,124455693,1771807,81.93,47.09,37,5268,28744,3472,"1.1",53.4133698571429,40.724354
"136",136,20,52.913053,41.056014,277290173,159174963,125453423,1801333,82.45,47.33,37.3,5356,28152,3413.86,"-0.33",53.4133698571429,40.724354
"137",137,20,52.932221,40.927904,279397250,160177820,126605166,1828681,83.07,47.63,37.64,5437,27456,3341.14,"0.46",53.4133698571429,40.724354
"138",138,20,54.185913,40.544004,281595351,161278336,127778250,1879526,83.73,47.95,37.99,5588,27789,3279.57,"0.82",53.4133698571429,40.724354
"139",139,20,54.186699,40.545142,283941223,162470794,129006463,1872697,84.42,48.31,38.36,5568,21532,3235,"0.48",53.4133698571429,40.724354
"140",140,20,54.186699,40.545142,285720586,163309414,130014175,1827882,84.95,48.56,38.66,5435,15108,3208.86,"-0.76",53.4133698571429,40.724354
"141",141,21,54.334964,40.323921,286890900,163907827,130615797,1782714,85.3,48.73,38.84,5301,15916,3181,"1.59",53.9991164285714,40.5764138571429
"142",142,21,54.65748,40.22551,287788872,164378258,131078608,1750524,85.57,48.87,38.97,5205,24162,3132.29,"1.13",53.9991164285714,40.5764138571429
"143",143,21,53.580561,40.832753,293705050,167157043,134418748,1394832,87.33,49.7,39.97,4147,15576,2864.71,"0.52",53.9991164285714,40.5764138571429
"144",144,21,54.320504,40.268356,289212304,165074907,131850089,1703162,85.99,49.08,39.2,5064,23609,3059.57,"0.96",53.9991164285714,40.5764138571429
"145",145,21,53.939184,40.718851,290724607,165718717,132769894,1618194,86.44,49.27,39.48,4811,21753,3024.86,"0.8",53.9991164285714,40.5764138571429
"146",146,21,53.580561,40.832753,292099778,166388129,133532544,1500632,86.85,49.47,39.7,4462,20325,2955.71,"0.7",53.9991164285714,40.5764138571429
"147",147,21,53.580561,40.832753,294928850,167733972,135087319,1315466,87.69,49.87,40.17,3911,11668,2786.71,"1.07",53.9991164285714,40.5764138571429
"148",148,22,53.362852,40.100893,296912892,168734435,136155250,1100084,88.28,50.17,40.48,3271,16755,2506.43,"1.17",53.4336215714286,40.3365355714286
