Label;High school graduate or higher;Bachelor's degree or higher;Median Age
Alabama;87.1;26.3;39.4
Alaska;93.6;30.2;35
Arizona;87.6;30.2;38.2
Arkansas;87.5;23.3;38.5
California;84.0;35.0;37
Colorado;92.4;42.7;37.1
Connecticut;90.7;39.8;41.1
Delaware;90.3;33.2;41.1
District of Columbia;91.9;59.7;34.2
Florida;88.4;30.7;42.5
Georgia;87.9;32.5;37.1
Hawaii;92.4;33.6;39.6
Idaho;91.5;28.7;36.9
Illinois;89.8;35.8;38.6
Indiana;89.6;26.9;37.9
Iowa;92.6;29.3;38.5
Kansas;91.8;34.0;37.1
Kentucky;87.2;25.1;39.1
Louisiana;86.0;25.0;37.5
Maine;93.2;33.2;45
Maryland;90.4;40.9;39.1
Massachusetts;91.3;45.0;39.6
Michigan;91.4;30.0;39.9
Minnesota;93.6;37.3;38.3
Mississippi;85.3;22.3;38
Missouri;90.7;30.2;38.9
Montana;94.2;33.6;40.1
Nebraska;92.0;33.2;36.8
Nevada;86.9;25.7;38.3
New Hampshire;93.3;37.6;43.1
New Jersey;90.3;41.2;40.1
New Mexico;85.9;27.7;38.4
New York;87.6;37.8;39.2
North Carolina;88.6;32.3;39.1
North Dakota;93.5;30.4;35.3
Ohio;90.8;29.3;39.5
Oklahoma;88.4;26.2;36.9
Oregon;91.4;34.5;39.6
Pennsylvania;91.0;32.3;40.8
Rhode Island;89.3;34.8;40.1
South Carolina;88.3;29.6;39.9
South Dakota;92.1;29.7;37.4
Tennessee;88.0;28.7;39
Texas;84.6;30.8;35
Utah;93.0;34.8;31.3
Vermont;93.1;38.7;43
Virginia;90.0;39.6;38.6
Washington;91.7;37.0;37.8
West Virginia;87.1;21.1;42.9
Wisconsin;92.8;31.3;39.8
Wyoming;94.5;29.1;38.4
